srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres
Thoubal,18.0,6.0,1.0
Thrissur,196.135782,23.40975463,8.857744994
Tikamgarh,616.0,71.0,24.0
Tinsukia,230.0,28.0,14.0
Tirap,10.0,1.0,4.0
Tiruchirappalli,143.0,0.0,3.0
Tirunelveli,195.0,0.0,4.0
Tiruvannamalai,84.0,0.0,0.0
Tonk,625.0,95.0,28.0
Tuensang,62.0,15.0,2.0
Tumkur,877.264814,161.1412783,22.1823732
U S NAGAR,153.0,23.0,7.0
Udaipur,202.0,28.0,8.0
Udalguri,176.4396437,164.98201168,10.676094625000001
Udhampur,136.0,31.0,2.0
Udupi,450.4489717,36.79604881,12.14515184
Ujjain,282.0,31.0,13.0
Ukhrul,9.0,2.0,1.0
Umaria,298.0,25.0,15.0
Una,134.0,24.0,9.0
Unakoti District,64.0,9.0,5.0
Unnav,298.0,20.0,12.0
Upper Siang,26.40182708,12.37585644,4.125285481
Upper Subansiri,25.054053168,6.745173239,5.654439965
Uttar Dinajpur,177.0,17.0,11.0
Uttara Kannada,336.0,36.0,13.0
Uttarkashi,82.0,10.0,4.0
Vadodara,218.0,43.0,9.0
Vaishali,65.0,26.0,0.0
Valsad,413.0,91.0,18.0
Varanasi,169.0,24.0,7.0
Vellore,460.0,0.0,11.0
Vidisha,79.0,7.0,4.0
Vikarabad,0.0,0.0,0.0
Villupuram,347.0,0.0,4.0
Virudhunagar,83.0,0.0,2.0
Visakhapatnam,410.0,115.0,10.0
Vizianagaram,510.0,147.0,10.0
W- Champaran,171.0,33.0,4.0
Wanaparthy,0.0,0.0,0.0
Warangal Rural,0.0,0.0,0.0
Warangal Urban,0.0,0.0,0.0
Wardha,310.0,68.0,9.0
Washim,256.0,64.0,3.0
Wayanad,191.0,28.0,10.0
West,69.0,80.0,5.0
West Garo Hills,231.291512,33.07100933,11.011212
West Godavari,213.0,52.0,6.0
West Jaintia Hills,35.0,6.0,2.0
West Kameng,7.304946406,4.174255089,1.565345658
West Siang,96.0,28.999999998,10.0
West Tripura,72.0,25.0,7.0
West khasi Hills,76.05436395,14.32996859,3.576877333
Wokha,19.0,2.0,1.0
Yadadri Bhongir,0.0,0.0,0.0
Yadgir,355.2900985,41.83985623,14.02433719
Yamunanagar,96.0,3.0,6.0
Yanam,103.0,0.0,2.0
Yavatmal,368.0,90.0,5.0
Zunheboto,8.0,3.0,0.0
chittoor,324.0,101.0,6.0
srcDistrictName,0.0,0.0,0.0
