srcStateName,srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres,Functional Health and Wellness Centres-Sub Centres,Functional Health and Wellness Centres-Primary Health Centres,Functional Sub Divisional Hospitals,Functional District Hospitals,srcYear,YearCode,Year,Country,StateCode,StateName,DistrictCode
Haryana,Kaithal,144,20,6,0,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,160
Haryana,Kurukshetra,112,4,5,5,15,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,161
Haryana,Narnaul,128,8,7,7,10,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,162
Haryana,Nuh,50,6,3,44,11,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,163
Haryana,Palwal,81,6,7,14,11,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,164
Haryana,Panchkula,39,0,3,7,9,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,165
Haryana,Panipat,81,7,6,8,15,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,166
Haryana,Rewari,112,16,5,0,0,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,167
Haryana,Rohtak,116,20,7,0,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,168
Haryana,Sirsa,139,8,8,12,18,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,169
Haryana,Sonipat,152,10,8,10,22,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,170
